trial,response,c,wave_length,fix_time,presti_time,sti_time,phase,n_pix
1,5,0.09058412883391864,24,120,120,24,0.0,142
2,1,0.008835337329038611,24,120,120,24,0.0,142
3,1,0.009447387716369387,24,120,120,24,0.0,142
4,5,0.056680266880862674,24,120,120,24,0.0,142
5,0,0.015098436071982023,24,120,120,24,0.0,142
6,10,0.12451537454892805,24,120,120,24,0.0,142
7,4,0.039876471029151074,24,120,120,24,0.0,142
8,2,0.033728358722661424,24,120,120,24,0.0,142
9,3,0.04636241771417513,24,120,120,24,0.0,142
10,4,0.047941363027244284,24,120,120,24,0.0,142
11,4,0.05041117614431297,24,120,120,24,0.0,142
12,0,0.007226987846679277,24,120,120,24,0.0,142
13,5,0.06589936725745978,24,120,120,24,0.0,142
14,0,0.011549882070258807,24,120,120,24,0.0,142
15,7,0.1309300796369519,24,120,120,24,0.0,142
16,6,0.05481350640339798,24,120,120,24,0.0,142
17,0,0.010101836674652361,24,120,120,24,0.0,142
18,2,0.028054436389317927,24,120,120,24,0.0,142
19,3,0.043358821739132726,24,120,120,24,0.0,142
20,0,0.007599303280649753,24,120,120,24,0.0,142
21,0,0.01785062693268143,24,120,120,24,0.0,142
22,9,0.10015785555847133,24,120,120,24,0.0,142
23,10,0.08330889180705163,24,120,120,24,0.0,142
24,0,0.0058132548489913515,24,120,120,24,0.0,142
25,1,0.018770244352010586,24,120,120,24,0.0,142
26,1,0.02623692564730855,24,120,120,24,0.0,142
27,0,0.0129862155231348,24,120,120,24,0.0,142
28,10,0.10890448660210873,24,120,120,24,0.0,142
29,4,0.029499727274079183,24,120,120,24,0.0,142
30,0,0.009606913710464453,24,120,120,24,0.0,142
31,0,0.006112738471739894,24,120,120,24,0.0,142
32,3,0.04054981416620749,24,120,120,24,0.0,142
33,2,0.02713046556223616,24,120,120,24,0.0,142
34,4,0.07791171313402485,24,120,120,24,0.0,142
35,1,0.014358712893315207,24,120,120,24,0.0,142
36,2,0.05126240541841049,24,120,120,24,0.0,142
37,2,0.020409420840270268,24,120,120,24,0.0,142
38,1,0.024951490391249994,24,120,120,24,0.0,142
39,1,0.00993409232029696,24,120,120,24,0.0,142
40,1,0.008125729872318079,24,120,120,24,0.0,142
41,0,0.012144901661618995,24,120,120,24,0.0,142
42,7,0.10531772523708698,24,120,120,24,0.0,142
43,0,0.005170282891932363,24,120,120,24,0.0,142
44,0,0.005257586868740583,24,120,120,24,0.0,142
45,0,0.007727623028570648,24,120,120,24,0.0,142
46,3,0.03856314234891653,24,120,120,24,0.0,142
47,2,0.039214308978606255,24,120,120,24,0.0,142
48,2,0.02900987450129902,24,120,120,24,0.0,142
49,2,0.04263883409802467,24,120,120,24,0.0,142
50,1,0.02256646777825411,24,120,120,24,0.0,142
51,0,0.005716723820748316,24,120,120,24,0.0,142
52,0,0.01342848159004205,24,120,120,24,0.0,142
53,0,0.0066465544942619,24,120,120,24,0.0,142
54,3,0.05861060283285691,24,120,120,24,0.0,142
55,2,0.0305043870483684,24,120,120,24,0.0,142
56,1,0.021460860601681064,24,120,120,24,0.0,142
57,1,0.005528443936470685,24,120,120,24,0.0,142
58,2,0.041234527190531244,24,120,120,24,0.0,142
59,4,0.08056511949959808,24,120,120,24,0.0,142
60,3,0.04714528076548078,24,120,120,24,0.0,142
61,1,0.01277057509965475,24,120,120,24,0.0,142
62,3,0.07286419146635159,24,120,120,24,0.0,142
63,4,0.07534569651459232,24,120,120,24,0.0,142
64,0,0.007473114324777792,24,120,120,24,0.0,142
65,1,0.011744910206528297,24,120,120,24,0.0,142
66,1,0.011943231534339085,24,120,120,24,0.0,142
67,3,0.0419308020909158,24,120,120,24,0.0,142
68,0,0.010984014490497141,24,120,120,24,0.0,142
69,1,0.014847721524495233,24,120,120,24,0.0,142
70,1,0.011169487542239792,24,120,120,24,0.0,142
71,1,0.03316828811969904,24,120,120,24,0.0,142
72,10,0.09211370755295731,24,120,120,24,0.0,142
73,9,0.06701212587260232,24,120,120,24,0.0,142
74,6,0.03487703121534678,24,120,120,24,0.0,142
75,3,0.0207540487147892,24,120,120,24,0.0,142
76,3,0.044835474850436555,24,120,120,24,0.0,142
77,7,0.13314092899955832,24,120,120,24,0.0,142
78,2,0.019087193542576084,24,120,120,24,0.0,142
79,0,0.00508442862666611,24,120,120,24,0.0,142
80,0,0.008984528408403115,24,120,120,24,0.0,142
81,0,0.008262938715073996,24,120,120,24,0.0,142
82,4,0.10356888941731932,24,120,120,24,0.0,142
83,0,0.007106981312291582,24,120,120,24,0.0,142
84,2,0.03667380426769253,24,120,120,24,0.0,142
85,0,0.006320917428658702,24,120,120,24,0.0,142
86,1,0.022191744083003367,24,120,120,24,0.0,142
87,3,0.06372897637795434,24,120,120,24,0.0,142
88,5,0.11074341785042745,24,120,120,24,0.0,142
89,4,0.03729306805348112,24,120,120,24,0.0,142
90,4,0.06480508636883985,24,120,120,24,0.0,142
91,0,0.00687291339839569,24,120,120,24,0.0,142
92,0,0.016144350144280506,24,120,120,24,0.0,142
93,1,0.018458558208061967,24,120,120,24,0.0,142
94,2,0.06929432959022673,24,120,120,24,0.0,142
95,1,0.023335004457050012,24,120,120,24,0.0,142
96,2,0.048750887715422596,24,120,120,24,0.0,142
97,0,0.008688623617116243,24,120,120,24,0.0,142
98,0,0.01044587066720999,24,120,120,24,0.0,142
99,1,0.027588583151882506,24,120,120,24,0.0,142
100,1,0.015353384116454717,24,120,120,24,0.0,142
101,0,0.013655231241813724,24,120,120,24,0.0,142
102,15,0.14,24,120,120,24,0.0,142
103,0,0.006536186248542236,24,120,120,24,0.0,142
104,0,0.020070515626111615,24,120,120,24,0.0,142
105,0,0.00913623868735593,24,120,120,24,0.0,142
106,3,0.032075892956896404,24,120,120,24,0.0,142
107,1,0.01755421134152708,24,120,120,24,0.0,142
108,6,0.070464414606837,24,120,120,24,0.0,142
109,0,0.013205497191576474,24,120,120,24,0.0,142
110,5,0.07409455619007968,24,120,120,24,0.0,142
111,4,0.05300822754682168,24,120,120,24,0.0,142
112,4,0.06814367422408235,24,120,120,24,0.0,142
113,0,0.010622256770162854,24,120,120,24,0.0,142
114,9,0.12661790696332448,24,120,120,24,0.0,142
115,4,0.04957408181513595,24,120,120,24,0.0,142
116,4,0.08192551997890646,24,120,120,24,0.0,142
117,5,0.13538911015725477,24,120,120,24,0.0,142
118,5,0.07661796325097797,24,120,120,24,0.0,142
119,4,0.08471562287192054,24,120,120,24,0.0,142
120,5,0.12041446972197614,24,120,120,24,0.0,142
121,3,0.04409096689379182,24,120,120,24,0.0,142
122,6,0.10709609141816008,24,120,120,24,0.0,142
123,2,0.07165425735765431,24,120,120,24,0.0,142
124,0,0.007990799427984273,24,120,120,24,0.0,142
125,1,0.05212800831622603,24,120,120,24,0.0,142
126,0,0.023729032932961247,24,120,120,24,0.0,142
127,0,0.005436642288059534,24,120,120,24,0.0,142
128,0,0.00785810954850977,24,120,120,24,0.0,142
129,0,0.009769133416679317,24,120,120,24,0.0,142
130,0,0.006758786387864296,24,120,120,24,0.0,142
131,0,0.010801621280402778,24,120,120,24,0.0,142
132,1,0.017262717829749048,24,120,120,24,0.0,142
133,0,0.0056217957223020434,24,120,120,24,0.0,142
134,0,0.014120281694985958,24,120,120,24,0.0,142
135,1,0.01234997713527608,24,120,120,24,0.0,142
136,0,0.007349020778444833,24,120,120,24,0.0,142
137,0,0.009290510704409375,24,120,120,24,0.0,142
138,0,0.008402464428661972,24,120,120,24,0.0,142
139,0,0.008544346135126522,24,120,120,24,0.0,142
140,8,0.1224477553838469,24,120,120,24,0.0,142
141,9,0.07922730892224675,24,120,120,24,0.0,142
142,9,0.11841494744408741,24,120,120,24,0.0,142
143,6,0.060606679422512466,24,120,120,24,0.0,142
144,4,0.03261751767518438,24,120,120,24,0.0,142
145,12,0.09849470108910297,24,120,120,24,0.0,142
146,0,0.013885809725924618,24,120,120,24,0.0,142
147,0,0.005346365036521689,24,120,120,24,0.0,142
148,0,0.021104495880939423,24,120,120,24,0.0,142
149,1,0.0181520477160925,24,120,120,24,0.0,142
150,1,0.022947518954898705,24,120,120,24,0.0,142
151,0,0.016976064664583873,24,120,120,24,0.0,142
152,0,0.006988967526280012,24,120,120,24,0.0,142
153,1,0.02667995516737716,24,120,120,24,0.0,142
154,7,0.11644862789797172,24,120,120,24,0.0,142
155,0,0.0064276507042130065,24,120,120,24,0.0,142
156,6,0.08760074712281693,24,120,120,24,0.0,142
157,4,0.04559255436394559,24,120,120,24,0.0,142
158,2,0.021823242799215607,24,120,120,24,0.0,142
159,1,0.028528155896566276,24,120,120,24,0.0,142
160,0,0.011358092440990893,24,120,120,24,0.0,142
161,0,0.010272413514101596,24,120,120,24,0.0,142
162,3,0.05573907221707652,24,120,120,24,0.0,142
163,5,0.09525078525470318,24,120,120,24,0.0,142
164,2,0.025801252779618897,24,120,120,24,0.0,142
165,2,0.036064823562819676,24,120,120,24,0.0,142
166,3,0.05763735429922662,24,120,120,24,0.0,142
167,7,0.11451495974123634,24,120,120,24,0.0,142
168,6,0.06267073555100906,24,120,120,24,0.0,142
169,4,0.08907994927771778,24,120,120,24,0.0,142
170,4,0.06163006716459963,24,120,120,24,0.0,142
171,0,0.015876267846114376,24,120,120,24,0.0,142
172,0,0.00621595649460751,24,120,120,24,0.0,142
173,7,0.13767525348447945,24,120,120,24,0.0,142
174,1,0.031019475749525433,24,120,120,24,0.0,142
175,1,0.031543262097012435,24,120,120,24,0.0,142
176,0,0.019409494650118063,24,120,120,24,0.0,142
177,0,0.005911415873663438,24,120,120,24,0.0,142
178,1,0.037922788557465344,24,120,120,24,0.0,142
179,1,0.029997851566234232,24,120,120,24,0.0,142
180,0,0.02537281440465115,24,120,120,24,0.0,142
181,0,0.014601170175370317,24,120,120,24,0.0,142
182,1,0.024537162603077825,24,120,120,24,0.0,142
183,7,0.1126134007867119,24,120,120,24,0.0,142
184,6,0.059600285373907075,24,120,120,24,0.0,142
185,0,0.006011234418436566,24,120,120,24,0.0,142
186,4,0.05390330991757823,24,120,120,24,0.0,142
187,0,0.019737238045636582,24,120,120,24,0.0,142
188,1,0.03546595518488732,24,120,120,24,0.0,142
189,2,0.03429788652399264,24,120,120,24,0.0,142
190,0,0.015612637143580618,24,120,120,24,0.0,142
191,6,0.08614610761116859,24,120,120,24,0.0,142
192,0,0.005000000000000002,24,120,120,24,0.0,142
193,0,0.01669417147046785,24,120,120,24,0.0,142
194,0,0.01255851545705392,24,120,120,24,0.0,142
195,7,0.09366911431812125,24,120,120,24,0.0,142
196,10,0.09685916385228772,24,120,120,24,0.0,142
197,11,0.1018490935973961,24,120,120,24,0.0,142
198,13,0.12875594216257452,24,120,120,24,0.0,142
199,0,0.024129714865490204,24,120,120,24,0.0,142
200,0,0.016416959206500183,24,120,120,24,0.0,142
